producto,title,canonical_url,brand,breadcrumbs,main_category,sub_category,sub_sub_category,main_amazon_category,estimated_views,estimated_purchases,month,site
d42bb11d-cfca-4aac-9b04-3845515eebed,producto 2,tienda.com/categoria1/productoB,marca1,keyword1-keyword2-keyword3,categoria3,subcategoria2,subsubcategoria3,category3,7003.77,4217.47,09,El Palacio de Hierro
458fac2e-e652-47c3-b08f-01e1a614970b,producto 1,tienda.com/categoria1/productoB,marca3,keyword3-keyword4-keyword5,categoria2,subcategoria2,subsubcategoria3,category2,3812.64,1704.11,05,Office Depot
8201be76-f551-4810-b384-b8f8002e7787,producto 3,tienda.com/categoria1/productoB,marca3,keyword2-keyword3-keyword4,categoria2,subcategoria2,subsubcategoria2,category3,947.32,2792.45,04,Office Depot
0819652f-1bec-469a-a9d8-b5bf75831f8e,producto 2,tienda.com/categoria1/productoB,marca3,keyword1-keyword2-keyword3,categoria2,subcategoria1,subsubcategoria1,category1,185.67,6604.73,01,Mercado Libre
cad5f795-497e-4248-b488-e95f588194a7,producto 2,tienda.com/categoria1/productoA,marca2,keyword1-keyword2-keyword3,categoria1,subcategoria2,subsubcategoria2,category2,4824.49,2204.63,05,Best Buy
dd9942cb-1c69-403d-9878-5ed154a6750f,producto 2,tienda.com/categoria1/productoA,marca2,keyword2-keyword3-keyword4,categoria3,subcategoria1,subsubcategoria3,category2,1782.21,2891.32,07,Office Depot
ce1616e0-462c-4034-b03d-123a9a481ee6,producto 1,tienda.com/categoria1/productoA,marca1,keyword3-keyword4-keyword5,categoria3,subcategoria2,subsubcategoria3,category3,9804.12,9453.22,12,Office Depot
982bb957-7ec6-4999-a111-576fad9fc6d7,producto 1,tienda.com/categoria1/productoC,marca1,keyword2-keyword3-keyword4,categoria1,subcategoria1,subsubcategoria1,category1,8428.52,1744.27,03,Liverpool
755e194c-1f96-40a5-a713-5067468254bc,producto 2,tienda.com/categoria1/productoC,marca3,keyword2-keyword3-keyword4,categoria1,subcategoria3,subsubcategoria2,category2,2171.49,8891.98,14,Office Depot
f1d6e7f1-6021-481d-a0d6-8ae73c1fe023,producto 1,tienda.com/categoria1/productoB,marca1,keyword2-keyword3-keyword4,categoria2,subcategoria1,subsubcategoria3,category3,5256.23,1208.83,15,Amazon
